Sri Lanka , Lush Greenery & Scenic Beaches, Dambulla, Colombo, Dehiwala-Mount Lavinia, Negombo, Pita Kotte
Germany , Postcard-Perfect, Berlin, Hamburg,Munich,Cologne,Frankfurt
Panama , Picturesque Coastline, Panama City,Colón City, David city, La Chorrera, Santiago
Kyrgyzstan , Semi-Nomadic Experience, Bishkek, Osh ,Jalal-Abad, Karakol, Naryn
Jordan , Open Up To New Experiences, Amman, Zarqa, Irbid, Russeifa, Sahab
Indonesia , Most Beautiful Of All, Jakarta, Surabaya, Bandung, Bekasi—are, Medan
Belarus , Europe’s Most Trending, Minsk City, Gomel (Homel), Mogilev (Mahileu), Vitebsk
Egypt , Desert Safari, Aswan, Luxor, Alexandria, Sharm El Sheikh, Hurghada
India , Spirituality & Adventure, Ahmadabad , Chennai, Kolkata , Surat, Pune
Oman , An Arabian Gem, Seeb	,Salalah	,Bawshar,Sohar
New Zealand , Overwhelming Landscapes, Auckland , Christchurch
Croatia , Treasure-trove of Experiences, Zagreb,Split,Rijeka,Osijek,Zadar
Mexico , Architectural Wonder, Mexico City, Tijuana, Ecatepec,Leon
Barbados , Sunny Beaches, Bridgetown, Holetown, Oistins ,  Speightstown
Israel , For Culture-Vultures, Jerusalem,Tel Aviv,Haifa,Rishon LeZion,Petah Tikva
Costa Rica , Grand Adventures,San Jose, Heredia, Cartago, Alajuela